Network Exception: No mapping for hostname 'bob'
2021-04-10 15:10:48.423725 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:48.422194 | alice
2021-04-10 15:10:49.850051 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:49.425169 | alice
2021-04-10 15:10:49.850518 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:48.449531 | bob
2021-04-10 15:10:49.851349 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:49.452474 | bob
2021-04-10 15:10:50.854016 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:50.852567 | alice
2021-04-10 15:10:50.854359 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:50.455173 | bob
2021-04-10 15:10:51.856949 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:51.855578 | alice
2021-04-10 15:10:51.857362 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:51.458278 | bob
2021-04-10 15:10:52.859954 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:52.858565 | alice
2021-04-10 15:10:52.860342 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:52.765892 | bob
2021-04-10 15:10:53.862940 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:53.861553 | alice
2021-04-10 15:10:53.863304 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:53.768938 | bob
2021-04-10 15:10:54.865974 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:54.864501 | alice
2021-04-10 15:10:54.866340 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:54.771965 | bob
2021-04-10 15:10:55.868865 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:55.867512 | alice
2021-04-10 15:10:55.869271 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:55.774927 | bob
2021-04-10 15:10:56.871942 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:56.870499 | alice
2021-04-10 15:10:56.872311 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:56.777842 | bob
2021-04-10 15:10:57.875127 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:57.873515 | alice
2021-04-10 15:10:57.875496 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:57.780859 | bob
2021-04-10 15:10:58.878185 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:58.876710 | alice
2021-04-10 15:10:59.898996 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:59.879637 | alice
2021-04-10 15:11:00.901850 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:00.900452 | alice
2021-04-10 15:11:00.902208 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:10:58.783916 | bob
