Network Exception: No mapping for hostname 'alice'
2021-04-10 15:10:48.451046 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:48.449531 | bob
2021-04-10 15:10:49.453874 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:49.452474 | bob
2021-04-10 15:10:49.453999 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:48.422194 | alice
2021-04-10 15:10:50.456645 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:50.455173 | bob
2021-04-10 15:10:50.457045 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:49.425169 | alice
2021-04-10 15:10:51.764307 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:51.458278 | bob
2021-04-10 15:10:51.764670 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:50.852567 | alice
2021-04-10 15:10:52.767361 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:52.765892 | bob
2021-04-10 15:10:52.767725 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:51.855578 | alice
2021-04-10 15:10:53.770408 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:53.768938 | bob
2021-04-10 15:10:53.770758 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:52.858565 | alice
2021-04-10 15:10:54.773367 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:54.771965 | bob
2021-04-10 15:10:54.773725 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:53.861553 | alice
2021-04-10 15:10:55.776282 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:55.774927 | bob
2021-04-10 15:10:55.776635 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:54.864501 | alice
2021-04-10 15:10:56.779288 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:56.777842 | bob
2021-04-10 15:10:56.779648 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:55.867512 | alice
2021-04-10 15:10:57.782349 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:57.780859 | bob
2021-04-10 15:10:57.782708 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:56.870499 | alice
2021-04-10 15:10:58.785367 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:58.783916 | bob
2021-04-10 15:10:58.785723 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:57.873515 | alice
2021-04-10 15:10:59.788274 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:59.786927 | bob
2021-04-10 15:11:00.791180 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:00.789712 | bob
2021-04-10 15:11:01.794175 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:01.792632 | bob
2021-04-10 15:11:01.794540 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:58.876710 | alice
2021-04-10 15:11:01.794662 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:10:59.879637 | alice
2021-04-10 15:11:01.794770 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:00.900452 | alice
2021-04-10 15:11:02.797388 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:02.795974 | bob
2021-04-10 15:11:02.797749 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:01.903626 | alice
2021-04-10 15:11:03.800307 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:03.798958 | bob
2021-04-10 15:11:03.800744 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:02.906633 | alice
2021-04-10 15:11:04.803399 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:04.801940 | bob
2021-04-10 15:11:04.803757 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:03.909532 | alice
2021-04-10 15:11:05.806428 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:05.804945 | bob
2021-04-10 15:11:05.806783 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:04.912427 | alice
2021-04-10 15:11:06.809597 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:06.807987 | bob
2021-04-10 15:11:06.809962 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:05.919265 | alice
2021-04-10 15:11:07.812633 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:07.811188 | bob
2021-04-10 15:11:07.813123 [alice/0:0:0:a:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:06.922153 | alice
2021-04-10 15:11:08.815752 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:08.814350 | bob
2021-04-10 15:11:08.816112 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:07.925019 | alice
2021-04-10 15:11:09.818686 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:09.817329 | bob
2021-04-10 15:11:09.819044 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:08.927987 | alice
2021-04-10 15:11:10.821841 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:10.820267 | bob
2021-04-10 15:11:10.822206 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:09.930953 | alice
2021-04-10 15:11:11.824967 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:11.823423 | bob
2021-04-10 15:11:11.825397 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  -> [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:10.936244 | alice
2021-04-10 15:11:12.828156 [alice/0:0:0:b:ffff:0:0:a%0:0:0:b]:1000  <- [bob/0:0:0:b:ffff:0:0:b]:1000            2021-04-10 15:11:12.826667 | bob
