2021-04-10 15:10:47.420077 Started
	log = true
2021-04-10 15:10:48.423238 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:48.422194 | '...
2021-04-10 15:10:49.848977 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:48.449531 | bob'
2021-04-10 15:10:49.849713 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:49.425169 | '...
2021-04-10 15:10:49.850407 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:49.452474 | bob'
2021-04-10 15:10:50.333567 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:50.455173 | bob'
2021-04-10 15:10:50.853560 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:50.852567 | '...
2021-04-10 15:10:51.641306 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:51.458278 | bob'
2021-04-10 15:10:51.856498 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:51.855578 | '...
2021-04-10 15:10:52.644156 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:52.765892 | bob'
2021-04-10 15:10:52.859483 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:52.858565 | '...
2021-04-10 15:10:53.653400 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:53.768938 | bob'
2021-04-10 15:10:53.862477 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:53.861553 | '...
2021-04-10 15:10:54.652924 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:10:54.771965 | bob'
