2021-04-10 15:10:47.446946 Started
	log = true
2021-04-10 15:10:48.450558 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:48.449531 | bob'
2021-04-10 15:10:49.369268 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:48.422194 | '...
2021-04-10 15:10:49.453667 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:49.452474 | bob'
2021-04-10 15:10:49.975990 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:49.425169 | '...
2021-04-10 15:10:50.456181 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:50.455173 | bob'
2021-04-10 15:10:51.763070 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:50.852567 | '...
2021-04-10 15:10:51.763849 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:51.458278 | bob'
2021-04-10 15:10:51.983480 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:51.855578 | '...
2021-04-10 15:10:52.766894 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:52.765892 | bob'
2021-04-10 15:10:52.986557 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:52.858565 | '...
2021-04-10 15:10:53.769959 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:53.768938 | bob'
2021-04-10 15:10:53.989637 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:53.861553 | '...
2021-04-10 15:10:54.772870 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:54.771965 | bob'
2021-04-10 15:10:54.992660 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:54.864501 | '...
2021-04-10 15:10:55.775828 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:55.774927 | bob'
2021-04-10 15:10:55.998304 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:55.867512 | '...
2021-04-10 15:10:56.778819 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:56.777842 | bob'
2021-04-10 15:10:56.998768 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:56.870499 | '...
2021-04-10 15:10:57.781897 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:57.780859 | bob'
2021-04-10 15:10:58.001917 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:57.873515 | '...
2021-04-10 15:10:58.784877 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:58.783916 | bob'
2021-04-10 15:10:59.787826 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:10:59.786927 | bob'
